,Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Data Science,Troubleshooting skills,Graphics Designing,Role
308,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
309,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
310,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
311,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6
312,6,3,3,3,3,3,3,3,3,4,3,3,3,3,3,6
313,6,3,3,3,3,3,3,3,3,5,3,3,3,3,3,6
314,6,3,3,3,3,3,3,3,3,1,3,3,3,3,3,6
315,6,3,3,3,3,3,3,3,3,0,3,3,3,3,3,6
316,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
317,6,3,3,3,3,3,3,3,3,2,3,3,3,3,3,6
318,6,2,2,2,2,2,2,2,2,4,2,2,2,2,2,6
319,6,2,2,2,2,2,2,2,2,5,2,2,2,2,2,6
320,6,2,2,2,2,2,2,2,2,1,2,2,2,2,2,6
321,6,2,2,2,2,2,2,2,2,0,2,2,2,2,2,6
322,6,2,2,2,2,2,2,2,2,3,2,2,2,2,2,6
323,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
324,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
325,6,4,4,4,4,4,4,4,4,4,5,4,4,4,4,6
326,6,4,4,4,4,4,4,4,4,4,1,4,4,4,4,6
327,6,4,4,4,4,4,4,4,4,4,0,4,4,4,4,6
328,6,4,4,4,4,4,4,4,4,4,3,4,4,4,4,6
329,6,4,4,4,4,4,4,4,4,4,2,4,4,4,4,6
330,6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6
331,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
332,6,5,5,5,5,5,5,5,5,5,1,5,5,5,5,6
333,6,5,5,5,5,5,5,5,5,5,0,5,5,5,5,6
334,6,5,5,5,5,5,5,5,5,5,3,5,5,5,5,6
335,6,5,5,5,5,5,5,5,5,5,2,5,5,5,5,6
336,6,1,1,1,1,1,1,1,1,1,4,1,1,1,1,6
337,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,6
338,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
339,6,1,1,1,1,1,1,1,1,1,0,1,1,1,1,6
340,6,1,1,1,1,1,1,1,1,1,3,1,1,1,1,6
341,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,6
342,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
343,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
344,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
345,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
346,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
347,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6
348,6,3,3,3,3,3,3,3,3,3,4,3,3,3,3,6
349,6,3,3,3,3,3,3,3,3,3,5,3,3,3,3,6
350,6,3,3,3,3,3,3,3,3,3,1,3,3,3,3,6
351,6,3,3,3,3,3,3,3,3,3,0,3,3,3,3,6
352,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
353,6,3,3,3,3,3,3,3,3,3,2,3,3,3,3,6
354,6,2,2,2,2,2,2,2,2,2,4,2,2,2,2,6
355,6,2,2,2,2,2,2,2,2,2,5,2,2,2,2,6
356,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6
357,6,2,2,2,2,2,2,2,2,2,0,2,2,2,2,6
358,6,2,2,2,2,2,2,2,2,2,3,2,2,2,2,6
359,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
360,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
361,6,4,4,4,4,4,4,4,4,4,4,5,4,4,4,6
362,6,4,4,4,4,4,4,4,4,4,4,1,4,4,4,6
363,6,4,4,4,4,4,4,4,4,4,4,0,4,4,4,6
364,6,4,4,4,4,4,4,4,4,4,4,3,4,4,4,6
365,6,4,4,4,4,4,4,4,4,4,4,2,4,4,4,6
366,6,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6
367,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
368,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,6
369,6,5,5,5,5,5,5,5,5,5,5,0,5,5,5,6
370,6,5,5,5,5,5,5,5,5,5,5,3,5,5,5,6
371,6,5,5,5,5,5,5,5,5,5,5,2,5,5,5,6
372,6,1,1,1,1,1,1,1,1,1,1,4,1,1,1,6
373,6,1,1,1,1,1,1,1,1,1,1,5,1,1,1,6
374,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
375,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6
376,6,1,1,1,1,1,1,1,1,1,1,3,1,1,1,6
377,6,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6
378,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6
379,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6
380,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
381,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
382,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
383,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
384,6,3,3,3,3,3,3,3,3,3,3,4,3,3,3,6
385,6,3,3,3,3,3,3,3,3,3,3,5,3,3,3,6
386,6,3,3,3,3,3,3,3,3,3,3,1,3,3,3,6
387,6,3,3,3,3,3,3,3,3,3,3,0,3,3,3,6
388,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
389,6,3,3,3,3,3,3,3,3,3,3,2,3,3,3,6
390,6,2,2,2,2,2,2,2,2,2,2,4,2,2,2,6
391,6,2,2,2,2,2,2,2,2,2,2,5,2,2,2,6
392,6,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6
393,6,2,2,2,2,2,2,2,2,2,2,0,2,2,2,6
394,6,2,2,2,2,2,2,2,2,2,2,3,2,2,2,6
395,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
396,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
397,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
398,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
399,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
400,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
401,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
402,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
403,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
